Company Name,Exchange:Ticker,Industry Group,Bottom up Beta for sector,Bottom up levered beta,Market Cap (in US $),Total Debt,Cash,Cash/ Firm Value,Book Debt to capital ratio,Market Debt to capital ratio,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,Interest coverage ratio,Current PE,PEG,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,Return on Equity,Return on Capital (ROC or ROIC),Net Profit Margin,Pre-tax Operating Margin,Effective Tax Rate,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income
Beijer Electronics AB (OM:BELE),OM:BELE,Electronics,1.0714,1.4321,"USD 200,50","USD 85,80","USD 17,10",5.97,59.05,29.97,144.2,42.79,"USD 10,51",0.83,17.03,55.05,5.45,26.14,0.88,0.95,15.72,12.76,2.1,1.28,1.84,-10.6,-4.86,4.84,2.12,29.7,2.63,13.64,43.23,3.87,8.14,21.33,"USD 7,67","USD 8,13","USD 13,30","USD 17,12","USD 210,00","USD 210,20","USD 21,10","USD 19,50","USD 13,47","USD 8,36","USD 2,77","USD 19,32",163.99,"-USD 8,62","-USD 22,32","-USD 13,96","USD 59,60","USD 39,60","USD 59,50","USD 128,20","-USD 3,68",0.38,0.49,0.5,0.05,0.05,"USD 12,06","USD 8,41"
HiQ International AB (OM:HIQ),OM:HIQ,Computer Services,0.8659,0.8959,"USD 325,40","USD 4,38","USD 24,10",7.09,12.38,4.21,14.13,4.39,"USD 6,17",0.92,19.49,45.01,47.03,15.5,0,1.53,15.02,10.59,7.66,1.49,6.07,1.53,-4.28,7.32,2.99,0,0.86,18.26,54.56,8.76,10.17,21.26,"USD 21,00","USD 18,10","USD 23,00","USD 21,02","USD 212,00","USD 206,60","USD 29,80","USD 24,80","USD 16,55","USD 1,03","USD 0,00","-USD 1,36",-8.24,"USD 17,91","USD 18,43","USD 19,46","USD 99,10","USD 38,52","USD 101,20","USD 41,20","-USD 19,75",0.35,0.68,0.5,0.04,0.04,"USD 20,50","USD 14,90"
Micronic Mydata AB (publ) (OM:MICR),OM:MICR,Electronics,1.0714,1.1785,"USD 189,10","USD 0,06","USD 80,50",38.46,10.27,9.65,11.45,10.68,"USD 1,93",0.56,6.32,52.18,272.87,0,0,0.91,4.13,5.37,1.11,0.62,0,0,0,6.11,20.2,0,-6.01,10.26,30.34,9.13,17.36,6.4,"-USD 6,75","USD 16,40","USD 35,20","USD 31,17","USD 207,90","USD 179,60","USD 24,00","USD 40,40","USD 29,18","USD 0,63","USD 12,42","USD 3,14",53.33,"USD 13,62","USD 0,21","USD 0,84","USD 159,90","USD 102,74","USD 176,40","USD 116,10","USD 0,00",0.13,0.58,0.5,0.12,0.12,"-USD 0,54","-USD 4,77"
Doro AB (publ) (OM:DORO),OM:DORO,Telecom. Equipment,1.1293,1.139,"USD 142,60","USD 0,00","USD 10,60",7.35,4.06,1.18,4.23,1.19,"USD 6,85",0.71,11.83,63.6,0,17.56,0,1.13,12.83,15.23,4.27,1.06,2.64,6.39,54.7,21.2,24.1,0,22.9,28.62,78.38,5.08,6.41,27.46,"USD 8,12","USD 8,27","USD 9,89","USD 10,42","USD 126,20","USD 162,70","USD 8,78","USD 12,10","USD 7,56","-USD 6,60","USD 12,39","USD 16,88",386.99,"-USD 21,70","-USD 14,40","-USD 21,00","USD 28,90","USD 13,30","USD 40,20","USD 31,30","-USD 3,77",0.3,0.47,0.5,0.12,0.12,"USD 1,29","USD 1,17"
Transmode AB (publ) (OM:TRMO),OM:TRMO,Telecom. Equipment,1.1293,1.1401,"USD 495,40","USD 0,00","USD 60,30",12.03,5.15,1.17,5.43,1.18,"USD 17,83",1.09,22.58,45.83,0,23.15,0,3.19,15.62,15.81,11.06,2.84,1.57,0,0,0,0,0,9.86,25.3,80.99,13.98,17.17,19.12,"USD 21,40","USD 23,00","USD 28,00","USD 28,24","USD 155,30","USD 164,50","USD 27,90","USD 29,90","USD 22,84","USD 0,00","USD 1,16","USD 8,36",41.66,"USD 13,32","USD 13,49","USD 13,49","USD 90,90","USD 34,87","USD 108,10","USD 39,87","-USD 7,78",0.41,0.81,0.5,0,0,0,0
Caperio Holding AB (OM:CAPE),OM:CAPE,Computer Services,0.8659,0.9919,"USD 14,30","USD 4,16","USD 1,30",7.04,27.08,22.54,37.14,29.09,"USD 2,97",-0.15,0,0,0.34,8.99,0,0.09,13.66,4,1.22,0.11,5.24,0,0,18.4,0,0,0.93,-3.8,8.69,-0.29,0.82,50,"USD 1,59","-USD 0,45","USD 0,16","USD 1,26","USD 151,50","USD 153,40","USD 4,29","USD 1,55","USD 0,63","-USD 0,25","USD 3,52","-USD 0,35",505.25,"-USD 2,55","-USD 3,37","-USD 3,62","USD 11,70","USD 14,45","USD 11,20","USD 14,06","-USD 0,75",0.04,-0.32,0.5,0,0,0,0
Consilium AB (publ) (OM:CONS B),OM:CONS B,Electronics,1.0714,2.4455,"USD 35,70","USD 69,00","USD 21,20",20.25,62.39,65.9,165.87,193.28,"USD 3,05",1.11,17.61,71.14,1.18,129.35,0,0.24,9.16,11.09,0.93,0.57,1.7,0,0,1.17,1.08,0,-0.01,-2.38,12.64,-0.64,6.33,33.64,"USD 0,28","-USD 0,92","USD 5,73","USD 9,12","USD 145,90","USD 144,00","USD 7,53","USD 6,99","USD 6,05","-USD 28,70","USD 2,21","USD 11,39",224.76,"-USD 7,55","USD 14,18","-USD 14,52","USD 38,50","USD 72,16","USD 41,60","USD 89,40","-USD 0,61",0.5,0.66,0.5,0.05,0.12,"USD 5,81","USD 1,12"
Opus Group AB (publ) (OM:OPUS),OM:OPUS,Electronics,1.0714,1.107,"USD 532,70","USD 25,80","USD 16,40",2.94,34.82,4.62,53.42,4.84,"USD 2,28",0.67,6.32,92.1,4.61,0,0,7.4,31.63,104.85,0,7.53,0.14,0,56.3,60.9,50.1,0,87.7,17.26,47.6,5.01,12.04,31.44,"-USD 0,35","USD 7,13","USD 14,20","USD 17,14","USD 72,00","USD 142,40","USD 5,17","USD 19,20","USD 11,75","-USD 11,20","-USD 5,12","USD 20,35",129.62,"-USD 3,48","USD 3,10","-USD 8,10","USD 41,30","USD 36,01","USD 48,30","-USD 14,60","-USD 0,72",0.23,0.55,0.5,0,0,0,0
NOTE AB (OM:NOTE),OM:NOTE,Electronics,1.0714,1.5447,"USD 29,20","USD 12,90","USD 4,61",10.95,26.43,30.64,35.93,44.18,"USD 1,01",0.91,11.83,56.63,0,15.05,0,0.18,0,5.47,1.13,0.24,4.62,0,0,-7.72,-12.6,0,0,-5.67,-0.9,-1.66,-0.25,0,"USD 1,94","-USD 2,30","-USD 0,89","-USD 0,35","USD 158,10","USD 138,90","USD 6,86","USD 0,97","-USD 0,35","USD 7,20","-USD 9,62","USD 1,11",0,"USD 8,16","-USD 0,99","USD 6,21","USD 40,60","USD 38,24","USD 35,90","USD 33,29","-USD 1,35",0.27,0.84,0.5,0.12,0.12,"USD 2,37","USD 0,87"
Deltaco AB (publ) (OM:DELT),OM:DELT,Computer Services,0.8659,1.179,"USD 37,90","USD 26,10","USD 3,67",5.73,48.69,40.78,94.91,68.87,"USD 3,43",0.8,8.94,51.43,8.7,55.65,0,0.5,11.94,16.9,1.34,0.79,5.49,0,0,0,0,0,52.4,4.71,17.82,0.92,3.74,47.49,"USD 0,68","USD 1,24","USD 4,29","USD 5,05","USD 75,90","USD 134,90","USD 3,57","USD 4,99","USD 2,65","-USD 18,94","-USD 2,34","USD 16,08",517.83,"-USD 11,08","USD 6,45","-USD 12,49","USD 26,30","USD 28,34","USD 27,50","USD 45,04","-USD 2,08",0.18,0.84,0.5,0.12,0.2,"USD 1,96","USD 0,09"
ReadSoft AB (OM:RSOF B),OM:RSOF B,Computer Software,1.0246,1.0246,"USD 94,40","USD 0,00","USD 10,30",10.91,0,0,0,0,"USD 3,08",0.27,7.75,51.32,6.49,12.91,0,0.79,10.85,6.57,3.75,0.7,2.5,-11.7,84.8,8.51,6.54,0,2.58,6.46,50.99,2.6,6.43,19.36,"USD 7,31","USD 3,14","USD 4,46","USD 7,75","USD 120,10","USD 120,60","USD 12,80","USD 6,98","USD 6,25","USD 2,45","USD 10,64","USD 4,93",249.13,"-USD 9,32","-USD 14,88","-USD 12,43","USD 48,60","USD 15,20","USD 51,50","USD 22,40","-USD 2,36",0.16,0.09,0.5,0.06,0.06,"USD 5,64","USD 4,44"
Connecta AB (OM:CNTA),OM:CNTA,Computer Services,0.8659,0.8695,"USD 61,30","USD 0,42","USD 1,32",2.14,2.14,0.68,2.19,0.69,"USD 5,90",0.61,14.14,57.1,33.45,10.13,0,0.49,10.29,6.51,6.33,0.48,6.61,-35,-28.3,0.34,-0.6,0,0.98,10.88,46.2,1.91,5.05,40.23,"USD 6,05","USD 2,22","USD 3,68","USD 5,87","USD 125,40","USD 116,30","USD 9,28","USD 4,17","USD 3,51","-USD 6,60","-USD 3,88","USD 1,83",-58.4,"USD 5,56","USD 10,87","USD 4,27","USD 20,40","USD 12,71","USD 19,20","USD 9,54","-USD 4,05",0.32,0.27,0.5,0.05,0.06,"USD 8,72","USD 5,92"
Net Entertainment NE AB (OM:NET B),OM:NET B,Internet software and services,1.1045,1.1153,"USD 834,80","USD 0,00","USD 9,51",1.13,15.89,1.09,18.89,1.1,"USD 21,10",1.15,37.01,48.09,0,40.72,0,10.34,32.22,23.91,17.25,10.34,1.67,4.7,16.4,18.8,27.2,0,19.7,57.85,67,23.92,28.03,11.36,"USD 20,50","USD 22,10","USD 25,10","USD 25,90","USD 80,70","USD 92,40","USD 34,90","USD 39,90","USD 22,96","USD 0,00","USD 2,81","USD 4,88",33.47,"USD 15,27","USD 14,42","USD 14,42","USD 38,20","USD 38,66","USD 48,70","USD 48,39","-USD 13,90",0.71,0.3,0.5,0.08,0.08,"USD 10,75","USD 9,52"
Softronic AB (OM:SOF B),OM:SOF B,Computer Services,0.8659,0.8659,"USD 55,70","USD 0,00","USD 1,19",2.14,0,0,0,0,"USD 1,06",0.38,4.47,50.31,180.65,15.96,0,0.7,6.24,7.9,3.61,0.69,6.62,-6.27,-13.4,12.6,6.41,0,6.31,11.51,63.82,4.36,10.19,33.69,"USD 3,49","USD 3,74","USD 5,60","USD 8,73","USD 79,40","USD 85,70","USD 6,90","USD 6,87","USD 5,79","USD 0,00","-USD 1,03","-USD 0,87",-32.82,"USD 7,69","USD 5,64","USD 5,64","USD 32,50","USD 13,68","USD 33,30","USD 15,11","-USD 3,69",0.09,0.4,0.5,0.08,0.09,"USD 3,27","USD 2,42"
Pricer AB (OM:PRIC B),OM:PRIC B,Electronics,1.0714,1.0835,"USD 113,60","USD 0,00","USD 4,03",3.47,2.34,2.21,2.4,2.25,"USD 1,02",1.29,22.36,59.7,0,20.77,0,1.35,27.27,10.1,1.06,1.33,0.01,0,0,8.92,4.61,0,3.87,-0.99,3.97,-1.33,5.11,50,"USD 5,47","-USD 1,07","USD 3,70","USD 4,11","USD 84,30","USD 80,50","USD 11,10","USD 3,54","USD 2,06","USD 0,00","-USD 0,02","USD 4,76",230.56,"-USD 2,68","-USD 5,81","-USD 5,81","USD 107,60","USD 103,45","USD 106,90","USD 105,43","-USD 0,01",0.53,0.86,0.5,0.11,0.13,"USD 1,51","USD 2,67"
Enea AB (OM:ENEA),OM:ENEA,Computer Services,0.8659,0.8659,"USD 139,50","USD 0,00","USD 24,30",17.42,0,0,0,0,"USD 8,49",0.98,11.83,65.5,2160,7.88,0,1.72,4.94,5.33,6.47,1.42,5.51,34.8,5.4,-13.1,-11.5,0,-1.76,34.38,107.96,24.7,30.81,14.57,"USD 17,70","USD 18,70","USD 21,60","USD 23,32","USD 81,30","USD 75,70","USD 21,60","USD 22,50","USD 19,92","USD 0,00","-USD 1,44","USD 1,69",1.26,"USD 19,67","USD 18,45","USD 18,45","USD 54,40","USD 21,60","USD 54,80","USD 17,80","-USD 7,69",0.31,0.86,0.5,0.1,0.1,"USD 6,31","USD 5,87"
HMS Networks AB (publ) (OM:HMS),OM:HMS,Electronics,1.0714,1.2011,"USD 240,70","USD 35,30","USD 2,64",0.96,38.33,12.79,62.15,14.67,"USD 21,26",0.35,11.4,40.34,15.25,30.05,1.36,4.11,19,25.55,9.31,4.66,1.65,3.29,8.24,12.5,8.71,22.1,20.1,19.31,129.98,13.6,19.99,17.46,"USD 8,01","USD 9,79","USD 12,40","USD 14,39","USD 58,60","USD 72,00","USD 10,70","USD 14,20","USD 11,88","USD 3,75","-USD 3,21","USD 43,77",341.46,"-USD 28,68","-USD 34,52","-USD 30,77","USD 50,70","USD 11,07","USD 56,80","USD 29,36","-USD 3,97",0.18,0.16,0.5,0,0,0,0
Avega Group AB (OM:AVEG B),OM:AVEG B,Computer Services,0.8659,0.8659,"USD 45,70","USD 0,00","USD 2,10",4.6,0,0,0,0,"USD 4,03",1.17,27.57,51.69,153.55,30.26,0,0.74,8.33,13.37,12.65,0.7,3.85,8.13,0,18.2,0,0,7.53,64.34,105.59,4.3,8.16,28.03,"USD 1,51","USD 2,76","USD 4,76","USD 5,24","USD 61,90","USD 64,20","USD 3,26","USD 4,90","USD 3,77","USD 0,00","-USD 2,71","-USD 0,12",-75.21,"USD 6,60","USD 5,59","USD 5,59","USD 4,29","USD 4,96","USD 5,64","USD 3,45","-USD 1,76",0.57,0.62,0.5,0,0,0,0
Vitec Software Group AB (OM:VIT B),OM:VIT B,Computer Software,1.0246,1.1348,"USD 73,20","USD 8,93","USD 2,01",2.45,25.94,10.87,35.02,12.2,"USD 13,78",0.66,14.83,47.53,11.07,14.88,0,1.25,11.25,7.93,6.56,1.36,2.73,20.8,21.7,15.2,25.6,0,1.35,20.48,65.5,7.98,12.01,11.85,"USD 4,92","USD 4,73","USD 7,12","USD 7,12","USD 58,70","USD 59,30","USD 10,10","USD 9,89","USD 6,28","USD 3,42","-USD 3,51","USD 2,64",-13.85,"USD 7,15","USD 2,18","USD 5,60","USD 23,10","USD 10,87","USD 25,50","USD 12,22","-USD 2,00",0.28,0.43,0.5,0.09,0.08,"USD 2,56","USD 1,81"
Formpipe Software AB (OM:FPIP),OM:FPIP,Computer Software,1.0246,1.3791,"USD 42,30","USD 24,00","USD 0,91",1.38,38.03,36.2,61.38,56.74,"USD 0,86",0.22,4.47,85.53,4.38,20.24,20.24,1.37,11.8,10.46,1.05,2.12,0,-2.07,-1.34,34.8,26.3,1,25.4,6.84,8.9,5.1,11.96,39.01,"USD 2,09","USD 2,36","USD 5,39","USD 5,54","USD 30,90","USD 46,30","USD 6,25","USD 8,46","USD 3,38","USD 3,10","USD 3,23","-USD 1,13",62.14,"USD 1,28","-USD 2,84","USD 0,26","USD 34,50","USD 62,25","USD 39,10","USD 62,19","USD 0,00",0.15,0.02,0.5,0,0,0,0
Aspiro AB (OM:ASP),OM:ASP,Internet software and services,1.1045,1.1045,"USD 46,60","USD 0,00","USD 12,20",26.18,0,0,0,0,"USD 0,14",0.57,3.16,82.22,0,0,0,1.09,0,0,0,0.81,0,0,0,16.6,-7.4,0,0,-72.92,0,-46.33,-29.77,0,"-USD 20,10","-USD 20,20","-USD 14,10","-USD 12,98","USD 42,60","USD 43,60","-USD 13,10","-USD 11,40","-USD 12,98","USD 0,00","-USD 0,75","-USD 1,28",0,"-USD 10,95","-USD 18,17","-USD 18,17","USD 27,70","-USD 2,70","USD 8,30","-USD 8,92","USD 0,00",0.1,0.65,0.5,0.1,0.11,"-USD 3,89","-USD 7,45"
Net Insight AB (OM:NETI B),OM:NETI B,Telecom. Equipment,1.1293,1.141,"USD 87,50","USD 0,00","USD 28,40",31.8,2.26,2.04,2.31,2.08,"USD 0,22",1.46,20,64,28.9,47.81,0,2.03,42.3,47.97,1.18,1.42,0,-93,-76.7,2.39,0.34,0,7.18,0.01,2.94,0.01,3.42,50,"USD 1,83","USD 0,01","USD 0,84","USD 1,44","USD 43,00","USD 42,10","USD 1,27","USD 1,25","USD 0,72","USD 0,00","USD 0,20","USD 8,34",1186.47,"-USD 7,82","-USD 8,54","-USD 8,54","USD 76,90","USD 49,06","USD 78,70","USD 51,44","USD 0,00",0.51,1.18,0.5,0.12,0.12,"-USD 0,51","USD 1,05"
I.A.R. Systems Group AB (publ) (OM:IAR B),OM:IAR B,Computer Software,1.0246,1.0432,"USD 82,70","USD 0,42","USD 8,53",9.95,6.75,3.51,7.23,3.64,"USD 6,70",0.45,11.83,45.64,205.81,41.35,0,2.34,10.11,13.15,4.09,2.19,4.29,86.4,-23.8,0,-15.9,0,0,6.9,39.47,7.66,21.5,50,"USD 2,00","USD 2,72","USD 6,38","USD 7,63","USD 35,30","USD 35,50","USD 5,87","USD 7,18","USD 3,82","-USD 0,03","USD 0,00","USD 1,98",51.81,"USD 1,84","USD 0,77","USD 0,74","USD 39,40","USD 19,34","USD 41,60","USD 18,88","-USD 3,55",0.22,0.24,0.5,0.07,0.09,"USD 3,82","USD 3,44"
Oniva Online Group Europe AB (publ) (OM:ONG),OM:ONG,Internet software and services,1.1045,1.3306,"USD 63,50","USD 13,00","USD 1,18",1.54,37.04,16.99,58.82,20.47,"USD 6,79",0.65,0,0,2.48,0,0,2.8,19.31,553.82,2.22,3.32,0,0,0,-4.95,-8.08,0,0,-64.81,12.93,-46.05,12.83,0,"-USD 17,60","-USD 14,00","USD 3,25","USD 3,90","USD 22,70","USD 30,40","USD 0,14","USD 4,08","USD 3,90","-USD 2,34","-USD 0,07","USD 0,17",2.69,"USD 3,80","-USD 11,77","-USD 14,11","USD 21,60","USD 30,18","USD 22,10","USD 33,92","USD 0,00",-0.09,1.15,0.5,0.15,0.14,"USD 0,15","-USD 4,70"
Novotek AB (OM:NTEK B),OM:NTEK B,Computer Services,0.8659,0.8659,"USD 19,20","USD 0,00","USD 5,56",28.96,0,0,0,0,"USD 1,81",0.41,6.32,52.97,14.54,19.63,0,0.65,4.74,8.37,13.92,0.46,8.59,6.55,-11.2,-3.09,-7.62,0,0,11.75,208.7,4.07,9.7,31.31,"USD 0,11","USD 1,21","USD 1,57","USD 2,88","USD 29,70","USD 29,70","USD 1,63","USD 1,65","USD 1,98","USD 0,00","-USD 0,66","-USD 0,45",-56.21,"USD 3,09","USD 2,32","USD 2,32","USD 10,30","USD 1,38","USD 10,40","USD 0,98","-USD 1,65",0.13,0.35,0.5,0.04,0.05,"USD 2,07","USD 1,39"
DIBS Payment Services AB (publ.) (OM:DIBS),OM:DIBS,Information Services,0.7925,0.7925,"USD 74,60","USD 0,00","USD 5,16",6.92,0,0,0,0,"USD 7,79",0.59,13.42,52.55,10.66,32.86,0,3.13,20.14,17.58,11.69,2.92,5.99,-27.1,-11.6,2.94,9.38,0,4.98,12.64,67.08,8.31,14.25,26.76,"USD 2,27","USD 2,01","USD 2,59","USD 3,45","USD 23,80","USD 24,20","USD 3,95","USD 3,77","USD 2,53","USD 0,00","-USD 0,47","USD 0,98",20.55,"USD 2,01","USD 1,49","USD 1,49","USD 15,90","USD 5,14","USD 13,80","USD 5,94","-USD 4,47",0.28,0.32,0.5,0,0,0,0
Image Systems AB (OM:IS),OM:IS,Electronics,1.0714,1.2282,"USD 17,90","USD 2,62","USD 0,05",0.23,18.17,12.77,22.2,14.64,"USD 0,02",-0.47,9.49,0,0,0,0,0.88,0,0,1.42,1,0,0,0,28.5,16.7,0,0,-56.43,-5.35,-21.86,-3.5,0,"-USD 6,25","-USD 5,18","-USD 1,84","-USD 0,83","USD 20,40","USD 23,70","-USD 1,87","-USD 0,51","-USD 0,83","USD 4,09","USD 2,21","-USD 2,14",0,"-USD 0,89","-USD 9,33","-USD 5,24","USD 9,18","USD 15,52","USD 11,80","USD 14,37","USD 0,00",-0.61,0.53,0.5,0.07,0.06,"-USD 3,19","-USD 4,47"
Micro Systemation AB (OM:MSAB B),OM:MSAB B,Computer Software,1.0246,1.0246,"USD 36,00","USD 0,00","USD 6,51",18.08,0,0,0,0,"USD 2,03",0.84,19.75,60.38,1495,16.29,0,1.71,7.86,9.83,40.4,1.4,4.61,-1.93,-3.96,14.8,20.8,0,9.24,40.48,159.66,10.77,15.97,21.46,"USD 2,21","USD 2,53","USD 2,99","USD 3,75","USD 21,00","USD 23,50","USD 3,00","USD 3,21","USD 2,95","USD 0,00","USD 2,30","-USD 0,42",64,"USD 1,06","USD 0,64","USD 0,64","USD 6,25","USD 2,35","USD 7,24","USD 0,73","-USD 1,66",0.48,0.31,0.5,0.08,0.08,"USD 2,15","USD 1,69"
Anoto Group AB (OM:ANOT),OM:ANOT,Electronics,1.0714,1.4917,"USD 18,80","USD 4,69","USD 0,57",2.17,31.82,28.18,46.68,39.23,"USD 0,05",-0.43,0,0,0,0,0,0.62,0,0,1.13,0.84,0,0,0,-11.1,1.65,0,0,-65.65,-49.4,-63.98,-56.34,0,"-USD 6,49","-USD 15,10","-USD 14,30","-USD 13,30","USD 30,50","USD 23,60","-USD 3,71","-USD 12,40","-USD 13,30","USD 0,00","-USD 1,63","USD 1,05",0,"-USD 12,72","-USD 14,52","-USD 14,52","USD 23,00","USD 26,91","USD 15,80","USD 22,61","USD 0,00",-0.09,-0.48,0.5,0.11,0.11,"-USD 11,26","-USD 12,89"
Generic Sweden AB (OM:GENI),OM:GENI,Computer Services,0.8659,0.8696,"USD 7,77","USD 0,04","USD 0,59",7.5,0.48,0.45,0.48,0.45,"USD 0,63",0.18,9.49,70.1,59.47,6.82,0,0.31,2.38,4.38,3.47,0.29,0,0,0,-6.04,-12.1,0,-13.3,17.15,170.7,5,15,4.81,"USD 1,14","USD 1,01","USD 1,13","USD 3,03","USD 25,30","USD 20,20","USD 1,65","USD 1,44","USD 2,88","USD 1,22","-USD 0,49","-USD 0,17",-22.95,"USD 3,55","USD 0,45","USD 1,67","USD 5,89","USD 1,78","USD 7,23","USD 2,08","USD 0,00",0.27,-0.27,0.5,0.1,0.15,"USD 0,60","USD 0,02"
Stockwik Förvaltning AB (OM:STFY),OM:STFY,Computer Services,0.8659,1.1651,"USD 5,47","USD 1,89","USD 0,08",1.13,26.47,25.68,36,34.55,"USD 0,01",0.88,12.25,134.72,0,0,0,0.24,0,32.49,2.31,0.32,0,0,0,-3.84,-11,0,0,-42.34,-54.36,-15.4,-10.69,0,"-USD 0,85","-USD 2,71","-USD 2,68","-USD 1,88","USD 23,10","USD 17,60","USD 0,22","-USD 2,05","-USD 1,88","USD 0,94","-USD 2,04","-USD 0,39",0,"USD 0,55","-USD 1,22","-USD 0,28","USD 6,40","USD 3,46","USD 5,25","USD 3,16","USD 0,00",0.66,-0.01,0.5,0,0,0,0
Precio Systemutveckling AB (OM:PRCO B),OM:PRCO B,Computer Services,0.8659,0.8659,"USD 7,84","USD 0,00","USD 1,81",23.09,0,0,0,0,"USD 1,05",0.5,12.25,43.68,18.6,12.89,0,0.46,21.61,5.97,2.74,0.35,7.41,0,0,0,0,0,0,1.66,2.95,1.02,1.62,36.76,"USD 0,61","USD 0,18","USD 0,28","USD 0,28","USD 17,20","USD 17,20","USD 1,01","USD 0,49","USD 0,18","USD 0,03","-USD 0,51","-USD 0,14",-369.56,"USD 0,83","USD 0,80","USD 0,83","USD 10,60","USD 9,46","USD 10,80","USD 2,20","-USD 0,58",0.21,0.33,0.5,0.09,0.12,"USD 0,54","USD 0,36"
G5 Entertainment AB (publ) (OM:G5EN),OM:G5EN,Computer Software,1.0246,1.0246,"USD 44,10","USD 0,00","USD 5,31",12.04,0,0,0,0,"USD 5,02",1.59,22.58,88.23,94.85,12.93,0,3.56,12.39,8.86,3.49,3.13,0,101,63.2,77,47.2,0,26.4,29.44,57.25,17.97,21.89,8.47,"USD 3,41","USD 2,57","USD 3,13","USD 3,13","USD 12,40","USD 14,30","USD 4,38","USD 4,26","USD 2,86","USD 0,00","USD 1,75","USD 7,15",310.76,"-USD 6,04","-USD 6,33","-USD 6,33","USD 8,73","USD 5,47","USD 16,80","USD 11,13","USD 0,00",0.8,0.79,0.5,0,0,0,0
InXL Innovation AB (publ) (OM:INXL),OM:INXL,Internet software and services,1.1045,1.1045,"USD 11,80","USD 0,00","USD 0,76",6.45,0,0,0,0,"USD 0,35",1.12,8.37,150,51.87,21.65,0,1.23,14.19,23.14,35.72,1.15,1.8,0,0,19.3,0,0,0,61.59,444.57,7.83,6.82,0,"USD 0,55","USD 0,89","USD 0,78","USD 0,78","USD 9,62","USD 11,40","USD 0,48","USD 0,78","USD 0,78","USD 0,22","USD 0,31","USD 0,00",39.72,"USD 0,47","USD 0,37","USD 0,58","USD 1,45","USD 0,18","USD 2,16","USD 0,31","-USD 0,21",0.75,0.18,0.5,0,0,0,0
MultiQ International AB (OM:MULQ),OM:MULQ,Computers/Peripherals,1.1128,1.1128,"USD 11,50","USD 0,00","USD 0,38",3.28,0,0,0,0,"USD 0,11",0.3,3.16,132.03,0,0,0,0.96,0,0,2.12,0.93,0,0,0,-18.4,-14,0,0,-20.43,-13.65,-13.96,-8.52,0,"-USD 1,26","-USD 1,41","-USD 1,39","-USD 0,86","USD 12,00","USD 10,10","-USD 0,97","-USD 1,19","-USD 0,86","-USD 0,84","-USD 0,77","USD 0,05",0,"-USD 0,14","USD 0,15","-USD 0,69","USD 6,90","USD 6,31","USD 5,62","USD 5,24","USD 0,00",0.17,0.11,0.5,0.13,0.13,"-USD 0,08","-USD 0,05"
JLT Mobile Computers AB (publ) (OM:JLT),OM:JLT,Computers/Peripherals,1.1128,1.1128,"USD 7,98","USD 0,00","USD 1,56",19.55,0,0,0,0,"USD 0,30",1.03,6.32,110.28,0,0,0,0.75,0,0,2.21,0.61,0,0,0,-9.53,-9.88,0,-1.39,-2.25,-3.93,-1.1,-1.28,0,"-USD 0,48","-USD 0,10","-USD 0,12","-USD 0,12","USD 10,60","USD 9,19","-USD 0,33","-USD 0,06","-USD 0,12","USD 0,00","-USD 2,74","-USD 0,11",0,"USD 2,74","USD 2,75","USD 2,75","USD 4,49","USD 3,00","USD 4,47","USD 2,91","USD 0,00",0.28,0.99,0.5,0.11,0.11,"USD 0,53","USD 0,39"
Diadrom Holding AB (OM:DIAH),OM:DIAH,Computer Services,0.8659,0.8659,"USD 18,10","USD 0,00","USD 3,04",16.8,0,0,0,0,"USD 2,49",0.7,11.83,54.51,0,11.68,0,2.09,8.01,7.21,107.57,1.74,6.24,27.6,10.4,26.4,12,0,0,54.55,170.91,16.63,20.84,21.62,"USD 1,55","USD 1,50","USD 1,88","USD 1,88","USD 8,64","USD 9,02","USD 2,09","USD 1,93","USD 1,47","USD 0,00","-USD 0,72","-USD 0,03",-50.36,"USD 2,22","USD 2,24","USD 2,24","USD 2,75","USD 1,10","USD 3,18","USD 0,14","-USD 1,13",0.26,0.53,0.5,0,0,0,0
